freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction,experience_level
FL250001,Ms. Nicole Kidd,Female,52,Italy,Italian,Blockchain Development,1.1,100.0,2,0,79,Beginner
FL250002,Vanessa Garcia,Female,52,Australia,English,Mobile Apps,3.4,100.0,3,1,84,Expert
FL250003,Juan Nelson,Male,53,Germany,German,Graphic Design,3.1,50.0,2,1,71,Expert
FL250004,Amanda Spencer,Female,38,Australia,English,Web Development,4.0,53.0338733431517,1,1,90,Expert
FL250005,Lynn Curtis DDS,Female,53,Germany,German,Web Development,2.7,30.0,4,0,83,Intermediate
FL250006,Lisa Johnson,Female,59,Netherlands,Dutch,AI,1.4,53.0338733431517,2,0,79,Beginner
FL250007,Eric Myers,Male,52,Indonesia,Indonesian,Data Analysis,10.0,75.0,3,0,94,Expert
FL250008,Ricky Graham,Male,43,Italy,Italian,Blockchain Development,1.4,40.0,4,0,94,Beginner
FL250009,Sean Martin,Male,26,United States,English,Blockchain Development,4.0,53.0338733431517,4,1,76,Expert
FL250010,Matthew Lloyd,Male,52,Turkey,Turkish,AI,2.2,53.0338733431517,2,1,79,Intermediate
FL250011,Gavin Randall,Male,40,United Kingdom,English,Data Analysis,1.7,40.0,3,1,77,Beginner
FL250012,Michelle Curtis,Female,55,Argentina,Spanish,UI/UX Design,1.5,53.0338733431517,2,1,86,Beginner
FL250013,Alice Schneider,Female,57,United Kingdom,English,Cybersecurity,1.8,53.0338733431517,2,0,86,Beginner
FL250014,Phillip Shelton,Male,38,Argentina,Spanish,Graphic Design,2.0,75.0,2,1,93,Intermediate
FL250015,Edward Ferguson,Male,50,Germany,German,Data Analysis,2.2,75.0,3,1,70,Intermediate
FL250016,Wyatt Stout,Male,42,Japan,Japanese,Data Analysis,1.1,53.0338733431517,1,0,69,Beginner
FL250017,Laura Johnson,Female,39,Australia,English,DevOps,1.3,53.0338733431517,2,0,60,Beginner
FL250018,Scott Burns,Male,56,India,Hindi,Blockchain Development,1.1,53.0338733431517,2,1,87,Beginner
FL250019,Tyler Aguirre,Male,56,United States,English,UI/UX Design,3.1,50.0,1,1,75,Expert
FL250020,Matthew Lawson,Male,57,Italy,Italian,Web Development,3.0,100.0,1,1,68,Expert
FL250021,James Cherry,Male,21,Indonesia,Indonesian,AI,9.0,50.0,1,0,65,Expert
FL250022,Samuel Sanford,Male,51,Japan,Japanese,DevOps,1.1,53.0338733431517,2,1,69,Beginner
FL250023,Cesar Greene,Male,51,Brazil,Portuguese,Cybersecurity,2.1,30.0,4,1,79,Intermediate
FL250024,Melanie Carter,Female,51,South Korea,Korean,Machine Learning,1.5,53.0338733431517,1,1,100,Beginner
FL250025,Jennifer Martin,Female,54,Indonesia,Indonesian,Machine Learning,1.3,75.0,2,1,92,Beginner
FL250026,Anna Mccann,Female,22,South Korea,Korean,DevOps,1.1,30.0,1,1,70,Beginner
FL250027,Marissa Bass,Female,34,Japan,Japanese,Blockchain Development,8.0,53.0338733431517,2,1,89,Expert
FL250028,Alexis Day,Female,36,Russia,Russian,Graphic Design,1.1,53.0338733431517,1,1,86,Beginner
